"Type";"Refrence";"Fichier";"Bibentry";"Synthese"
"comparaison";"andersson1999cpe";1;1;1
"comparaison";"armano2015cba";1;1;1
"comparaison";"askin2013cp";1;1;0
"comparaison";"baogang2008ec";1;0;1
"comparaison";"chen2012cvtt";1;1;1
"comparaison";"costa2007rev";1;1;0
"comparaison";"drummond2006mles";1;1;1
"comparaison";"flach2019peml";1;1;0
"comparaison";"freitas2014ccm";1;1;1
"comparaison";"hagenauer2017mlcmc";1;1;1
"comparaison";"karlafis2011svsml";1;0;1
"comparaison";"kubus2020ec";1;1;0
"comparaison";"liu2011lr";1;1;1
"comparaison";"portugal2018mlrs";1;1;1
"comparaison";"schulz2014models";1;0;0
"comparaison";"sokolova2009sa";1;1;1
"comparaison";"tama2019ecct";1;1;0
"comparaison";"yangho2020cpa";1;1;0
"comparaison";"zhou2020mrc";1;1;0
"comparaison";"zhu2017es";1;1;1
"comparaison";"karlafti2011svsml";0;1;0
"comparaison";"schulz2014predict";0;1;0
"comparaison";"baogan2008ec";0;1;0
"comparaison";"costa2007rem";0;0;1
"comparaison";"shulz2014models";0;0;1
