"Type";"Refrence";"Fichier";"Bibentry";"Synthese"
"handbooks";"agresti2007cd";1;1;1
"handbooks";"agresti2013cd";1;1;1
"handbooks";"baltagi2008ec";1;1;0
"handbooks";"cascetta2009tr";1;1;1
"handbooks";"depalma2011tr";1;1;1
"handbooks";"drechsler2011sd";1;1;0
"handbooks";"hastie2009sl";1;1;1
"handbooks";"japkowicz2011el";1;1;1
"handbooks";"jebara2004ml";1;1;1
"handbooks";"zielesny2011cf";1;1;0
"handbooks";"denuit2019as1";0;1;0
"handbooks";"denuit2019as3";0;1;0
"handbooks";"furnkranz2011p";0;1;0
"handbooks";"train2009dc";0;1;0
"handbooks";"johannes2011";0;1;1
