"Type";"Refrence";"Fichier";"Bibentry";"Synthese"
"applications";"baayen2017gam";1;1;0
"applications";"coussement2010gam";1;1;0
"applications";"demir2014comp";1;1;0
"applications";"greene2011ru";1;1;0
"applications";"hastie2002gam";1;1;0
"applications";"hrnjic2019beh";1;1;1
"applications";"liu2019mvse";1;1;0
"applications";"penczynski2019com";1;1;1
"applications";"wong2020gen";0;1;0
"behavioural";"avineri2003su";0;1;0
"behavioural";"mccausland2013pd";0;1;0
"behavioural";"balbontin2019pcm";0;1;0
"behavioural";"belgiawan2019cdm";0;1;0
"behavioural";"leong2015ram";0;1;0
"behavioural";"brock2003mcsi";0;1;0
"behavioural";"pigozzi2016pai";0;1;0
"behavioural";"tsoukias2013ph";0;1;0
"behavioural";"sihem2009rs";0;1;0
"choise_appli";"bleimer2005ex";1;0;0
"choise_appli";"llerena2013rose";1;1;0
"choise_appli";"rose2008sce";1;1;0
"comparaison";"andersson1999cpe";1;1;1
"comparaison";"armano2015cba";1;1;1
"comparaison";"askin2013cp";1;1;0
"comparaison";"baogang2008ec";1;0;1
"comparaison";"chen2012cvtt";1;1;1
"comparaison";"costa2007rev";1;1;0
"comparaison";"drummond2006mles";1;1;1
"comparaison";"flach2019peml";1;1;0
"comparaison";"freitas2014ccm";1;1;1
"comparaison";"hagenauer2017mlcmc";1;1;1
"comparaison";"karlafis2011svsml";1;0;1
"comparaison";"kubus2020ec";1;1;0
"comparaison";"liu2011lr";1;1;1
"comparaison";"portugal2018mlrs";1;1;1
"comparaison";"schulz2014models";1;0;0
"comparaison";"sokolova2009sa";1;1;1
"comparaison";"tama2019ecct";1;1;0
"comparaison";"yangho2020cpa";1;1;0
"comparaison";"zhou2020mrc";1;1;0
"comparaison";"zhu2017es";1;1;1
"comparaison";"karlafti2011svsml";0;1;0
"comparaison";"schulz2014predict";0;1;0
"comparaison";"baogan2008ec";0;1;0
"comparaison";"costa2007rem";0;0;1
"comparaison";"shulz2014models";0;0;1
"cours";"add_intro";1;0;0
"cours";"add_supervised";1;0;0
"cours";"add_unsupervised";1;0;0
"cours";"fdd_supervised";1;0;0
"cours";"hullermeier2015mdai";1;0;0
"cours";"qdt_busemeyer";1;0;0
"handbooks";"agresti2007cd";1;1;1
"handbooks";"agresti2013cd";1;1;1
"handbooks";"baltagi2008ec";1;1;0
"handbooks";"cascetta2009tr";1;1;1
"handbooks";"depalma2011tr";1;1;1
"handbooks";"drechsler2011sd";1;1;0
"handbooks";"hastie2009sl";1;1;1
"handbooks";"japkowicz2011el";1;1;1
"handbooks";"jebara2004ml";1;1;1
"handbooks";"zielesny2011cf";1;1;0
"handbooks";"denuit2019as1";0;1;0
"handbooks";"denuit2019as3";0;1;0
"handbooks";"furnkranz2011p";0;1;0
"handbooks";"train2009dc";0;1;0
"handbooks";"johannes2011";0;1;1
"initiation";"sujets";1;0;0
"ml_classification";"ayodele2010tml";1;1;1
"ml_classification";"baldi2000ar_1";1;0;0
"ml_classification";"baldi2000ar";1;1;1
"ml_classification";"kotsiantis2006tr";1;1;1
"ml_classification";"molina2019soc";1;1;1
"ml_classification";"tsoumakas2007cm";1;1;1
"ml_classification";"vijayakumar2019pa";1;1;1
"ml_economics";"athey2018iml";1;1;1
"ml_economics";"athey2019ml";1;1;1
"ml_economics";"breiman2001stat";1;1;1
"ml_economics";"chen2013rac";1;1;0
"ml_economics";"donoho2017ds";1;1;1
"ml_economics";"mullainathan2017ml";1;1;1
"ml_economics";"varian2014bd";1;1;1
"ml_economics";"agrawal2019nber";0;1;0
"ml_neuralnetworks";"alvarez2018senn";1;1;0
"ml_neuralnetworks";"beck2018nnt";1;1;0
"ml_neuralnetworks";"bergtold2015nne";1;1;0
"ml_neuralnetworks";"doshivelez2017iml";1;1;0
"ml_neuralnetworks";"farell2018deep_v3";1;0;0
"ml_neuralnetworks";"farrell2018deep";1;1;0
"ml_neuralnetworks";"gao2016matrix";1;1;0
"ml_neuralnetworks";"ishhorowicz2019dnn";1;1;0
