"Type";"Refrence";"Fichier";"Bibentry";"Synthese"
"technical";"athey2019rf";1;1;1
"technical";"bhat2012mnpm";1;1;1
"technical";"boeri2014rrm";1;1;1
"technical";"bouchard2004gd";1;0;1
"technical";"brito2013lda";1;1;1
"technical";"chorus2012rrm";1;1;1
"technical";"debock2010gam";1;1;1
"technical";"depalma2008dcm";1;1;1
"technical";"domshlak2011pref";1;1;1
"technical";"ferrara2017sem";1;1;1
"technical";"hancock2019quantum";1;1;1
"technical";"hand2012perf";1;1;1
"technical";"huang2000nop";1;1;1
"technical";"lewbel2019id";1;1;1
"technical";"ognyanova2019r";1;1;1
"technical";"si2019inf";1;1;1
"technical";"vitetta2016quantum";1;1;1
"technical";"yan2012nad";1;1;1
"technical";"yukalov2017quantum";1;1;1
"technical";"zhang2018gam";1;1;1
"technical";"chorus2010rrm";0;1;0
"technical";"bouchard2004tradeoff";0;1;0
